Delegacia_Orgaos,Delegadotitular_Diretor,Telefones,TipoTabela
"042ª DP - Recreio  Av. Teotônio  Vilela, nº31 - Recreio dos Bandeirantes",Marcia Helena Julião,Telefone: 2332-8039 / 2332-8036 / 2332-9970 / 2332-9967,Delegacias da Capital
"043ª DP  Guaratiba   Estrada do Piai, Qd. 89 Lt-7 e 8",Aglausio Batista Novais Filho,Plantão:2333-7234,Delegacias da Capital
"044ª DP  Inhaúma  Av. Pastor Martin Luther King, s/nº",Roberto Ramos da Silva Santos,Plantão:2332-4225,Delegacias da Capital
"045ªDP - Complexo do Alemão  Rua Nova sem número, Itararé ( entrada  pela Estação Itararé do Teleférico)",Fabio Asty Dantas,Telefone: 3885-4486 / 3885-0736 / 3885-2453 / 3885-2928 / 3885-2993,Delegacias da Capital
"1ª  DPA - Capital  Rua da Relação, 42",Paulo Cesar da Silva Guimarães,telefone:2334-9768,Delegacias da Capital
"2ª  DPA - Capital   Rua da Relação, 42",Flávio Marcos Amaral de Brito,Plantão:2334-9768,Delegacias da Capital
"048ª DP  Seropédica   BR 465, antiga Rio/São Paulo, KM 42 - Campo Limpo",Julio da Silva Filho,Telefone:3787-0613 / 3787-8269 / 3787-4184,DGPB - Departamento Geral de Polícia da Baixada
"050ª DP  Itaguaí   Rua Gal. Bocaiúva, 410",Jorge Farid Zahra,Plantão:2687-7628/ 7556,DGPB - Departamento Geral de Polícia da Baixada
051ª DP  Paracambi   Estr. RJ 127  KM 11 nº 153,Flavio da Rosa Loureiro,"Plantão: 2683-2201 / 2201
3693-3192/3170/3193
Fax: 3693-3149",DGPB - Departamento Geral de Polícia da Baixada
"052ª DP  Nova Iguaçu   Av. Governador Amaral Peixoto, nº 950",Leandro Aquino da Silva,Telefone:3779-0168 / 3779-9549 / 3779-0717 / 3779-0832,DGPB - Departamento Geral de Polícia da Baixada
"053ª DP  Mesquita   Av. Presidente Costa e Silva, nº1280",Matheus de Almeida Romanelli Lopes,Plantão: 3765-6730,DGPB - Departamento Geral de Polícia da Baixada
"054ª DP  Belford Roxo   Estrada Bento José Martins Silvares, 800",Luiz Henrique Ferreira Guimarães,Plantão:3771-0520,DGPB - Departamento Geral de Polícia da Baixada
"055ª DP  Queimados   Rua Manuel Algusto Muquete, s/n",Marcos Celio Vieira Peralta,"Plantão: 2665-8447
2779-9726",DGPB - Departamento Geral de Polícia da Baixada
"056ª DP  Comendador Soares  Rua Tomás da Fonseca, 399",Alexandre Roberto Dellsanto Gusman,Plantão:2669-0221/,DGPB - Departamento Geral de Polícia da Baixada
"057ª DP  Nilópolis   Estrada do Expedicionário, 84  Cabuis - Nilópolis",Marco Aurélio de Paula Ribeiro,Telefone:2791-1389 / 2791-1923 / 2791-9480 / 2791-2012,DGPB - Departamento Geral de Polícia da Baixada
"058ª DP  Posse  Av. Henrique Duque Estrada Meyer, 149",Adriano Marcelo Firmo França,Plantão:3779-9540,DGPB - Departamento Geral de Polícia da Baixada
"059ª DP  Duque de Caxias   Rua Ailton Costa, s/nº",Raissa Maria dos Santos Celles,"Plantão:3657-2607 / 2586 / 2291 / 4796 / 5519 /  5337
Tit: 2771-3817
3777-5634/36574796

Plantão Hospital Duque de Caxias: 3777-5324",DGPB - Departamento Geral de Polícia da Baixada
"060ª DP  Campos Elíseos   Rua Dr. Manoel Alves, s/nº",José de Moraes Ferreira,"Plantão: 2678-5571 / 6518 / 6494 
Fax: 2678-6291",DGPB - Departamento Geral de Polícia da Baixada
"061ª DP  Xerém   Rua Maranhão, 5",José Afonso Mota,Plantão: 2775-3974,DGPB - Departamento Geral de Polícia da Baixada
062ª DP  Imbariê   Rua Mal.Hermes,Marcos Santana Gomes,Plantão: 2787-1465/ 1490,DGPB - Departamento Geral de Polícia da Baixada
"063ª DP  Japeri   Estrada Vereador Francisco da Costa Filho,s/nº",Rodrigo Freitas,Plantão:3691-1509,DGPB - Departamento Geral de Polícia da Baixada
"064ª DP  S. J.Meriti  Avenida Doutor Arruda Negreiro, s/nº",Roberto de Souza Cardoso,Plantão:2655-5213,DGPB - Departamento Geral de Polícia da Baixada
"065ª DP  Magé   Praça Getúlio Vargas, 20",Angelo Jose Lages Machado,Telefone:2633-4322 / 2633-5124 / 2633-4255 / 2633- 4250,DGPB - Departamento Geral de Polícia da Baixada
"066ª DP  Piabetá   Av. Santos Dumont, s/nº",Antonio Silvino Teixeira,Atendimento: 2739-0333,DGPB - Departamento Geral de Polícia da Baixada
"067ª DP  Guapimirim  Estrada do Bananal, 1919 - Bananal",Veronica Stiepanowez de Oliveira,Telefone:2632-5941 / 2632-5909 / 2632-5798,DGPB - Departamento Geral de Polícia da Baixada
"3ª DPA - Baixada  Rua Ailton Costa, s/nº",Cley Biagio Catão,Telefone:3651-8179 / 2785-9515 / 3777-5742,DGPB - Departamento Geral de Polícia da Baixada
"070ª DP  Tanguá  Rua Firmino Francisco Leite, s/nº",Raul Gustavo Morgado,2747-1881/2747-1049,DGPI - Departamento Geral de Polícia do Interior
"071ª DP  Itaboraí   Av. 22 de maio, 5.963",Oscar de Sa Alves,"Plantão: 3639-1861 /
2645-7932",DGPI - Departamento Geral de Polícia do Interior
"072ª DP  São Gonçalo   Av. 18 do Forte, 578",Flavio Almeida Narcizo,Telefone:3119-0048 / 3119-0091 / 3119-0159 / 3119-0080,DGPI - Departamento Geral de Polícia do Interior
"073ª DP  Neves   Rua Oliveira Botelho,s/nº",Carla Conceição Guimarães Tavares de Lima,Plantão:3707-1046/,DGPI - Departamento Geral de Polícia do Interior
"074ª DP  Alcântara   Praça Carlos Gianely, 15",Fabio Corsino Freire,Plantão: 3715- 3740 /3968,DGPI - Departamento Geral de Polícia do Interior
"075ª DP  Rio do Ouro   Estr. Velha de Marica, s/nº",Marcos Antonio da Silva,"Plantão:2707-4211/ 4043
Fax: 2616-4576",DGPI - Departamento Geral de Polícia do Interior
076ª DP  Niterói   Ernani do Amaral Peixoto,Glaucio Paz da Silva,"Atendimento: 2719-3220
Plantão Hospital Antonio Pedro: 2717-2001",DGPI - Departamento Geral de Polícia do Interior
"077ª DP  Icaraí   Rua Lemos Cunha, 475",Robson da Costa Ferreira da Silva,Telefone:2711-9434 / 2711-9759 / 2711-9996 / 2711-9721,DGPI - Departamento Geral de Polícia do Interior
"078ª DP  Fonseca   Alameda São Boaventura, 773",José William de Medeiros,Plantão:3601-6674,DGPI - Departamento Geral de Polícia do Interior
"079ª DP  Jurujuba   Av. Quintino Bocaiúva, 115",Claudio Otero Ascoli,Telefone:2715-4440 / 2715-4585 / 2711-8327 / 2715-4881,DGPI - Departamento Geral de Polícia do Interior
081ª DP  Itaipu   Av. Francisco da Cruz nº6666 - Piratininga,Lauro Cesar Lethier Rangel,"Plantão: 2709-0234 / 0246
Fax: 2709-0246",DGPI - Departamento Geral de Polícia do Interior
"082ª DP  Maricá   Rua Athayde Parreira, s/nº",Julio Cesar Mulatinho Neto,3731-9958/9965,DGPI - Departamento Geral de Polícia do Interior
"088ª DP  Barra do Piraí   Rua Paulo de Frontin, 132",Carina da Silva Bastos,"Plantão:(24)2443-2508 / 2128 /2440/2128/3019/2714
Fax: (24)2443-3019",DGPI - Departamento Geral de Polícia do Interior
"089ª DP  Resende   Rua Guita Ferreira da Rocha, s/nº",Marcelo Nunes Ribeiro,(24)3354-6440,DGPI - Departamento Geral de Polícia do Interior
"090ª DP  Barra Mansa   Av. Domingos Mariano, s/nº",Ronaldo Aparecido Ferreira Brito,"(24) 3328-4863
3326-1854",DGPI - Departamento Geral de Polícia do Interior
"091ª DP  Valença   Rodovia RJ, 145-lote 28",Luciano Coelho dos Santos,Plantão:(24)2452-3769,DGPI - Departamento Geral de Polícia do Interior
"092ª DP  Rio das Flores   Rua João Carvalho da Rocha, 71",Luciano Coelho dos Santos,Plantão:(24)2458-1512 /1384,DGPI - Departamento Geral de Polícia do Interior
"093ª DP  Volta Redonda   Rua Lucas Evangelista, 667",Eliezer Lourenço Costa,Plantão: (24)3339-2462,DGPI - Departamento Geral de Polícia do Interior
094ª DP  Piraí   Rua 15 de Novembro 290,Marco Antonio de A. Alves,Plantão: (24)2431-6821,DGPI - Departamento Geral de Polícia do Interior
"095ª DP  Vassouras   Av. Mal. Paulo Torres, 477",Renato Soares Vieira,Plantão: (24)2471-6034,DGPI - Departamento Geral de Polícia do Interior
"096ª DP   Miguel Pereira   Rua Zeni Esteves, s/nº-Pça da Band",Marcello Braga Maia,Plantão:(24) 2484-7657,DGPI - Departamento Geral de Polícia do Interior
"097ª DP  Mendes   Rua Maria Caetana, 54",Luiz Fernando Nader Damasceno,Plantão:(24)2465-5168,DGPI - Departamento Geral de Polícia do Interior
"098ª DP  Eng. Paulo de Frontin  RJ/127 22125, São Lourenço",Luiz Fernando Nader Damasceno,(24)2463-2119 / 2463-2846 / 2463-2890 /  2463-2020,DGPI - Departamento Geral de Polícia do Interior
"099ª DP  Itatiaia   Av. Dois, Lote A - Jardim Itatiaia",Vicente Maximiliano Rodrigues Barbosa,"(24)3352-1866/ 5750/ 1996/ 1888/ 2094 
1866/ 1864",DGPI - Departamento Geral de Polícia do Interior
"100ª DP  Porto Real   Rua Ariosto Roberto Pederassi, 570",Marcelo dos Santos Haddad,Plantão:(24)3353-3341,DGPI - Departamento Geral de Polícia do Interior
"101ª DP  Pinheiral   Rua José Breves, 294 - Central",Antonio da Luz Furtado,(24)3356-4611,DGPI - Departamento Geral de Polícia do Interior
"104ª DP  São J. V. Rio Preto   Rua Alfredo Jacintho Franco, s/nº",Paulo César Vieira,"Plantão:(24)2224-1075 / 2299 2224-1439
 2224-2231",DGPI - Departamento Geral de Polícia do Interior
"105ª DP  Petrópolis   Avenida Barão do Rio Branco, s/nº.",Cláudio Batista Teixeira,Plantão: (24) 2291-0816,DGPI - Departamento Geral de Polícia do Interior
"106ª DP  Itaipava   Estrada União Indústria, 8.764",Nei José Ramos Costa,Plantão:(24)2232-0153/ 2222-7094,DGPI - Departamento Geral de Polícia do Interior
"107ª DP  Paraíba do Sul   Praça Garcia, 27",Claudia Teresa Nardy Abbud,Atendimento: (24) 2263-8985/2263-2341,DGPI - Departamento Geral de Polícia do Interior
"108ª DP  Três Rios   Av. Castro Alves, 116",Andre Luiz Pinto Lourenço,Plantão: (24) 2252-4633/4941,DGPI - Departamento Geral de Polícia do Interior
"109ª DP  Sapucaia   Rua Rafael Langone,600",Marcelo Cunha Vieira,Plantão: (24) 2271-2033,DGPI - Departamento Geral de Polícia do Interior
"110ªDP  Teresópolis   Av. Alberto Torres, 569",Paulo Roberto Lima de Freitas,"Plantão(21)2641-4305/4850
 2642-3810/4121/4397
 (21)2641-4215",DGPI - Departamento Geral de Polícia do Interior
"111ª DP  Sumidouro   Rua Carlos Alberto P. de Moura Junior, 74",Vinicius Paiva Galhardo,Telefone:(22)2531-1136 / 2531-1309 / 2531-1667 / 2531-1144,DGPI - Departamento Geral de Polícia do Interior
"112ª DP  Carmo   Praça Alexandre de Mello, 109",Herbert Tavares Cardoso,2537-2570/2219,DGPI - Departamento Geral de Polícia do Interior
"118ª DP  Araruama   Rua Bernardo de Vasconcelos, 755",Luiz Henrique Marques Pereira,"Plantão(22)2673-6958
2151/6424/2157/7076
(22) 2665-5666 / 2673-7287",DGPI - Departamento Geral de Polícia do Interior
"119ª DP  Rio Bonito    Av.Antonio Carlos de Souza Guadelupe, s/nº - Green Valley",Carlos Eduardo Pereira Almeida,(21) 2734-5098 | 2734-5080 | 2734-5275,DGPI - Departamento Geral de Polícia do Interior
"120ª DP  Silva Jardim    RuaComandante Pereira Filho, 51",Juaraci Rodrigues Cardoso Vieira,Plantão(22)2688-0657,DGPI - Departamento Geral de Polícia do Interior
"121ª DP  Casemiro de Abreu    Rua Geny da Cruz Leite, s/nº",Daniela dos Santos Rebelo Pinto,(22)2778-4511,DGPI - Departamento Geral de Polícia do Interior
"122ª DP  Conceição de Macabu   Rua Plácido Freire, 72",Franquis Dias Nepomuceno,(22) 2279-4774,DGPI - Departamento Geral de Polícia do Interior
"123ª DP  Macaé    Rua São João, nº 35  Centro - Macaé",Filipi Poeys Lima,Plantão: (22) 2791-4019,DGPI - Departamento Geral de Polícia do Interior
"124ª DP  Saquarema   Rua Dr. Luiz Januário, 201",Leonardo Luis Macharet,"Plantão: (22) 22)2655-3477/2651-2278
Fax:(22)2651-3104",DGPI - Departamento Geral de Polícia do Interior
"125ª DP - São Pedro D´Adeia  Av. Nsa. Sra. Fátima, frte 312",Jorge Luiz da Silva Veloso,(22)2621-5919,DGPI - Departamento Geral de Polícia do Interior
"126ª DP  Cabo Frio   Rua Teixeira e Souza, s/nº",Renato dos Santos Mariano,"(22)2648-1229/ 1754/ 2246/ 1873/ 1438/ 2154 
(22)2648-1253",DGPI - Departamento Geral de Polícia do Interior
127ª DP  Armação de Búzios   Avenida Parque s/n,Rômulo Prado de Mesquita,"Plantão: (22) 2633-0059
2623-2102",DGPI - Departamento Geral de Polícia do Interior
"128ª DP  Rio das Ostras   Av. Jane Maria Martins Figueira, s/n/ -  Jardim Marileia",Juliana Rattes C. de Queiroz,Plantão: (22) 2771-4096,DGPI - Departamento Geral de Polícia do Interior
"129ª DP  Iguaba Grande  Rua Profeta Jeremias, s/nº",Janaina Cristina Peregrino,Plantão:(22) 2624-3329,DGPI - Departamento Geral de Polícia do Interior
"130ª DP  Quissamã  Estrada do Correio Imperial, s/nº - Piteiras",Ivailson Moreira Sardinha,Telefone:(22)2768-1957 / 2768-1717 / 2768-1719,DGPI - Departamento Geral de Polícia do Interior
"132ª DP  Arraial do Cabo  Av. General Bruno Martins, s/nº",Flavia Goes Monteiro Romero de Barros,Plantão: (22) 2622-4614,DGPI - Departamento Geral de Polícia do Interior
"134ª DP  Campos    Rua Barão de Miracema, 231",Geraldo Rangel de Andrade Júnior,"Plantão:2726-5293/ 2724-1580
Fax:(22)2726-5297",DGPI - Departamento Geral de Polícia do Interior
"135ª DP  Itaocara   Av. Roberto Silveira, 84",Luiz Augusto Carvalho de Souza,Telefone:(22)3861-9157 / 3861-2170 / 3861-9156 / 3861-9155,DGPI - Departamento Geral de Polícia do Interior
"136ª DP  S. Antônio de Pádua   Rua Arthur Silva, 151",Rudolph Bruno Anastácio,Plantão:(22) 3853-3166,DGPI - Departamento Geral de Polícia do Interior
"137ª DP  Miracema    Rua Irineu Sodré, 178",Vilson de Almeida Silva,Plantão:(22)3852-1977 /8682,DGPI - Departamento Geral de Polícia do Interior
"138ª DP  Laje do Muriaé   Rua Hélio M. de Sá, s/nº",Bruno Cleuder de Melo,"Plantão:/(22) 3829-2603 / 2635
Fax:(22)3829-2689",DGPI - Departamento Geral de Polícia do Interior
"139ª DP  Porciúncula    Rua Antônio Duarte, s/nº",Uillian Rodrigues Costa,Plantão:(22)3842-1181 / 1811,DGPI - Departamento Geral de Polícia do Interior
"140ª DP  Natividade   Av. Gov. Roberto Silveira, s/nº",Gesner Cesar Bruno,"Plantão(22)3841-4142
Fax: (22)3841-2107",DGPI - Departamento Geral de Polícia do Interior
"141ª DP  São Fidelis   Av. Pres. Kennedy, 17",Rodrigo Vinicius Andrade Maia,PLantão: (22) 2758-1317,DGPI - Departamento Geral de Polícia do Interior
"142ª DP  Cambuci   Rua 13 de Maio, 303",Luiz Augusto Carvalho de Souza,Plantão: (22) 2767-2994/2228,DGPI - Departamento Geral de Polícia do Interior
143ª DP  Itaperuna   Delegacia Delegado Titular Telefones,Márcio Caldas Dias Mello,"Plantão(22)3824-1535/ 7700 
Fax: (22)3824-7439",DGPI - Departamento Geral de Polícia do Interior
"144ª DP  B. Jesus Itabapoana   Av. Gov. Roberto Silveira, 148",Avelino C. L. Filho,"Plantão: (22) 3831-2122/ 
Fax: (22)3831-2208",DGPI - Departamento Geral de Polícia do Interior
145ª DP  São João da Barra  Rod. BR 356  Campos - Atafona,Carlos Augusto G. da Silva,"Plantão: (22)2741-1373/1930
Fax: 22)2741-4383",DGPI - Departamento Geral de Polícia do Interior
146ª DP  Guarus   Rua Patrício Menezes e Hipólito Sardinha,Luis Mauricio Armond Campos,"Plantão:(22)2724-1585
(22)2722-2652/ 2604/ 
Fax: (22)2722-1083",DGPI - Departamento Geral de Polícia do Interior
"147ª DP  S Francisco Itabapoana   Rua Joaquim da Mota Sobrinho, 230",Ivana Maria Peres Morgado,Plantão(22)2789-1561/1554 1535/1549/ 1546/,DGPI - Departamento Geral de Polícia do Interior
"148ª DP  Italva  Rua Aristides Gonçalves de Souza, s/nº",Maurício Barros de Azevedo,Plantão: (22) 2783-2593,DGPI - Departamento Geral de Polícia do Interior
"151ª DP  Nova Friburgo  Rua Teresópolis, s/nº",Mario Roberto Arruda,"Plantão(22)2533-0849 /4023
Fax:(22) 2533-0880",DGPI - Departamento Geral de Polícia do Interior
"152ª DP  Duas Barras   Rua Getúlio Vargas, 22",Mariana Thomé de Moraes,Plantão(22)2534-1246/ 1946/1308,DGPI - Departamento Geral de Polícia do Interior
"153ª DP  Cantagalo   Rua Getúlio Vargas, 114",Carlos Alexandre Leite Justiniano,"Plantão:(22)2555-4315 / 5274
4864 / 4814",DGPI - Departamento Geral de Polícia do Interior
"154ª DP  Cordeiro  Av. Pres. Vargas, 296",Robson Pizzo Braga,"PLantão: (22)2555-4150 / 4241 / 4864 / 5274 / 4814 / 1841
Fax: (22)2551-1499",DGPI - Departamento Geral de Polícia do Interior
"155ª DP  São Sebastião do Alto  Cel. Fco. Salustiano Pinto, 210",Renato José Mascarenhas Perez,Plantão:(22)2559-1483/ 1224,DGPI - Departamento Geral de Polícia do Interior
"156ª DP  Santa Maria Madalena   Rua Cel. Brás, s/nº",Carla Vargas de Oliveira,PLantão:(22)2561-1116,DGPI - Departamento Geral de Polícia do Interior
"157ª DP  Trajano de Moraes   Alameda Rui Barbosa, s/nº",Henrique Paulo Mesquita Pessoa,Plantão: 2564-2341,DGPI - Departamento Geral de Polícia do Interior
"158ª DP  Bom Jardim   Praça Gov. Roberto Silveira, 170",Gilberto Soares da Silva,(22)2566-3107/3620,DGPI - Departamento Geral de Polícia do Interior
"159ª DP  Cachoeira de Macacu   Av. Lord Baden Powel, 93",Clovis Souza Moreira,Telefone:(21)2649-3452 / 2649-2795 / 2649-3887 / 2649-3501,DGPI - Departamento Geral de Polícia do Interior
"165ª DP  Mangaratiba   Estrada São João Marcos, s/nº",Milton Siqueira Junior,Plantão(21)2789-2917/0708 / 0698/ 0733/ 0728,DGPI - Departamento Geral de Polícia do Interior
"166ª DP  Angra dos Reis   Rua Dr. Coutinho, 6",Bruno Gilaberte Freitas Savignon,"Plantão: (24) 3377-8611
Fax: (24) 3377-8345",DGPI - Departamento Geral de Polícia do Interior
"167ª DP  Paraty  Rua Roberto da Silveira , s/n",Uriel Alcantara Machado Nunes,3371-8484/ 4139,DGPI - Departamento Geral de Polícia do Interior
"168ª DP  Rio Claro   Rua Fagundes de Varela, 74",Michel André Murillo Floroschk,Plantão(24)3332-1598/1271,DGPI - Departamento Geral de Polícia do Interior
"4ª DPA Região dos Lagos, Niterói e São Gonçalo  Rua Dr. Porciúncula s/nº, Venda da Cruz, São Gonçalo",Jose Renato Magnani Chernicharo,Plantão: 3707-1961,DGPI - Departamento Geral de Polícia do Interior
"5ª DPA - Sul Fluminense e Costa Verde  Rua Pinto Ribeiro, nº 330, Centro, Barra Mansa",Francisco Benitez Lopes,Plantão: (24) 3328-6537,DGPI - Departamento Geral de Polícia do Interior
"6ª DPA - Campos - Norte Fluminense  Rua Barão de Miracema nº 231, Centro, Campos",Daniel José Bandeira de Melo Gomes,Plantão :(22) 2731-9368,DGPI - Departamento Geral de Polícia do Interior
"7ª DPA - Região Serrana  Rua Alberto Torres nº 531, Alto, Teresópolis",Alexandre Ziehe,"Plantão: :(21)2641-0365 
 2641-4347",DGPI - Departamento Geral de Polícia do Interior
"10ª DEAC    Av. Brás de Pina, 1115",Francisco Coelho da Silva,"2333-5316/
2333-5317/
2333-5318/
2333-5319",CDEAC - Coordenadoria das delegacias de Acervo Cartorário
"11ª DEAC  Rua Cap. Gaspar Soares, 301 - Nova Iguaçu",Gisele Rosemberg,"2769-2587/
2767-4721",CDEAC - Coordenadoria das delegacias de Acervo Cartorário
"12ª DEAC   Rua Defensor Público Zilmar Pinaud, nº 163  São João de Meriti",Antenor de Castro Rego Neto,"3755-1038/
3668-7814",CDEAC - Coordenadoria das delegacias de Acervo Cartorário
"13ª DEAC   Rua Benjamin Constant, s/nº - Piabetá",Anderson Ribeiro Pinto,"2659-9098/
2739-4823",CDEAC - Coordenadoria das delegacias de Acervo Cartorário
"15ª DEAC  Rua São João, 370, Centro de Niterói",Edgar Antonio Cumani,"2717-3174/
2717-2637/
2717-6600/
2718-5557",CDEAC - Coordenadoria das delegacias de Acervo Cartorário
"16ª DEAC   Rua São João, 370, Centro de Niterói",José de Albuquerque Magalhães Junior,3707-0002 / 3707-0020 / 3707-0042 / 3707-0061 / 3707-1906 / 3707-1908 / 3707-1957,CDEAC - Coordenadoria das delegacias de Acervo Cartorário
"CGDEAC  Rua da Relação, 42 - 11º andar",Jose Augusto Pereira de Souza,Tel: 2334-9736 / 2332-9975,CDEAC - Coordenadoria das delegacias de Acervo Cartorário
"CIAC  Rua Pedro Alves, 187 - Stº Cristo",Antonio Ricardo L. Nunes,"2220-6507/
2283-6478/
2283-6451/
2283-6486/
2283-6457",CDEAC - Coordenadoria das delegacias de Acervo Cartorário
